date,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,cloudCover,dewPoint,humidity,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,time,visibility,windBearing,windSpeed,daylightHours
1/1/2010,37.98,1262368800,14.02,1262433600,0.76,28.29,0.76,0.53,,0.0015,0.0115,1262365200,0.61,rain,1014.57,1262348883,1262383073,42.59,1262368800,26.91,1262437200,1262322000,7.02,313,7.34,9.497222222
1/2/2010,14.32,1262437200,0.17,1262520000,0.44,8.43,0.46,0.57,0.309,0.0011,0.009,1262466000,0.45,snow,1013.59,1262435289,1262469522,27.99,1262455200,16.74,1262523600,1262408400,9.98,308,19.7,9.509166667
1/3/2010,16.06,1262563200,10.07,1262577600,0.22,3.76,0.45,0.61,0.675,0.0019,0.0135,1262520000,0.45,snow,1011.82,1262521693,1262555972,27.88,1262563200,23.42,1262584800,1262494800,10,300,19.9,9.521944444
1/4/2010,22.15,1262638800,17.4,1262685600,0.6,10.91,0.49,0.65,,0,0,,0,,1011.79,1262608095,1262642423,32.56,1262635200,27.26,1262692800,1262581200,10,302,13.09,9.535555556
1/5/2010,24.72,1262718000,18.87,1262768400,0.84,13.59,0.5,0.68,,0,0,,0,,1011.84,1262694495,1262728876,34.7,1262718000,29.16,1262772000,1262667600,9.99,304,11.99,9.550277778
1/6/2010,27.23,1262808000,20.29,1262851200,0.69,16.79,0.53,0.72,,0,0,,0,,1012.76,1262780892,1262815330,36.95,1262808000,29.65,1262869200,1262754000,9.98,302,13.39,9.566111111
1/7/2010,30.91,1262898000,21.77,1262955600,0.33,18.63,0.57,0.75,,0,0,,0,,1015.9,1262867288,1262901786,36.68,1262894400,28.59,1262952000,1262840400,9.86,305,8.15,9.582777778
1/8/2010,22.32,1262952000,12.72,1263009600,0.55,16.86,0.65,0.79,0.242,0.0011,0.0085,1262937600,0.8,snow,1012.85,1262953681,1262988243,29.05,1262959200,23.55,1263009600,1262926800,8.1,299,9.49,9.600555556
1/9/2010,25.92,1263067200,8.97,1263128400,0.15,12.61,0.51,0.82,,0,0,,0,,1021.25,1263040073,1263074700,34.81,1263067200,20.24,1263128400,1263013200,10,327,10.32,9.618611111
1/10/2010,27.92,1263168000,13.51,1263200400,0.06,6.87,0.45,0.86,,0,0,,0,,1026.82,1263126462,1263161159,30.9,1263168000,20.66,1263211200,1263099600,10,324,9.9,9.638055556
1/11/2010,34.18,1263247200,19.23,1263297600,0.36,12.12,0.53,0.89,,0,0,,0,,1023.29,1263212850,1263247619,34.84,1263240000,28.68,1263301200,1263186000,9.99,252,2.47,9.658055556
1/12/2010,28.28,1263340800,20.88,1263362400,0.6,15.76,0.53,0.92,,0,0,,0,,1022.1,1263299235,1263334080,33.92,1263330000,27.53,1263380400,1263272400,10,322,10.21,9.679166667
1/13/2010,39.48,1263420000,25.12,1263466800,0.22,18.47,0.55,0.95,,0,0,,0,,1024.86,1263385618,1263420542,42.42,1263416400,25.12,1263466800,1263358800,9.99,295,5.43,9.701111111
1/14/2010,45.86,1263499200,24.84,1263546000,0.17,22.08,0.62,0.98,,0,0,,0,,1024.29,1263471999,1263507005,48.41,1263499200,27.83,1263549600,1263445200,9.77,190,1.87,9.723888889
1/15/2010,54.39,1263585600,28.53,1263636000,0.36,28.48,0.66,0.01,,0,0,,0,,1023,1263558378,1263593469,54.39,1263585600,31.32,1263646800,1263531600,9.99,301,2.87,9.7475
1/16/2010,48.8,1263675600,35.13,1263733200,0.42,33.68,0.8,0.04,,0.0004,0.0086,1263686400,0.78,rain,1023.18,1263644755,1263679933,49.73,1263675600,37.7,1263704400,1263618000,8.23,199,2.53,9.771666667
1/17/2010,41.71,1263772800,33.22,1263787200,0.86,38.31,0.9,0.07,,0.0207,0.1558,1263747600,1,rain,1010.16,1263731130,1263766398,44.43,1263765600,40.07,1263798000,1263704400,5.24,23,4.43,9.796666667
1/18/2010,54.14,1263841200,29.94,1263888000,0.45,36.73,0.75,0.1,,0,0,,0,,1009.43,1263817503,1263852864,54.14,1263841200,32.8,1263895200,1263790800,9.96,321,8.07,9.8225
1/19/2010,58.05,1263931200,32.99,1263981600,0.38,34.47,0.75,0.13,,0.0003,0.0067,1263913200,0.17,rain,1012.94,1263903875,1263939331,58.05,1263931200,35.62,1263992400,1263877200,9.04,295,0.78,9.848888889
1/20/2010,40.13,1264021200,26.58,1264078800,0.75,28.45,0.66,0.17,,0.0011,0.0121,1263992400,0.77,rain,1015.82,1263990244,1264025798,43.12,1264021200,31.14,1264075200,1263963600,9.22,9,4.2,9.876111111
1/21/2010,38.23,1264104000,29.47,1264154400,0.59,26.16,0.66,0.2,,0.0026,0.0299,1264129200,0.95,rain,1020.76,1264076611,1264112265,42.31,1264104000,35.53,1264143600,1264050000,9.77,65,4.69,9.903888889
1/22/2010,37.8,1264204800,26.74,1264244400,0.89,29.6,0.73,0.23,,0.0044,0.0183,1264136400,0.95,rain,1014.29,1264162976,1264198733,42.12,1264194000,32.09,1264240800,1264136400,9.44,8,6.46,9.9325
1/23/2010,44.13,1264273200,31.02,1264298400,0.32,26.33,0.65,0.26,,0.0003,0.0059,1264291200,0.3,rain,1022.88,1264249340,1264285202,44.92,1264276800,35.17,1264305600,1264222800,9.76,86,2.4,9.961666667
1/24/2010,45.2,1264374000,50.56,1264381200,0.94,37.38,0.84,0.3,,0.0048,0.0454,1264388400,1,rain,1015.74,1264335702,1264371671,48.94,1264377600,50.56,1264381200,1264309200,8.52,99,2.65,9.991388889
1/25/2010,63.8,1264442400,33.96,1264510800,0.83,48.16,0.75,0.33,,0.0175,0.0783,1264417200,1,rain,995.61,1264422061,1264458140,63.8,1264442400,38.16,1264503600,1264395600,9.21,188,6.15,10.02194444
1/26/2010,39.68,1264532400,24.95,1264575600,0.63,25.1,0.53,0.37,,0.0001,0.0017,1264482000,0.17,rain,1007.76,1264508419,1264544609,44.19,1264532400,30.87,1264593600,1264482000,9.99,278,7.64,10.05277778
1/27/2010,39.29,1264626000,29.71,1264672800,0.27,20.68,0.53,0.41,,0,0,,0,,1020.5,1264594775,1264631079,43.82,1264626000,32.56,1264658400,1264568400,10,277,6,10.08444444
1/28/2010,51.63,1264708800,7.54,1264766400,0.54,21.42,0.53,0.44,,0,0,,0,,1019.27,1264681130,1264717549,51.63,1264708800,19.96,1264766400,1264654800,10,290,6.36,10.11638889
1/29/2010,16.81,1264802400,10.88,1264856400,0.45,3.29,0.42,0.48,,0,0,,0,,1028.43,1264767482,1264804019,25.83,1264798800,21.28,1264849200,1264741200,9.76,330,10.66,10.14916667
1/30/2010,21.6,1264896000,3.4,1264939200,0.91,8.86,0.64,0.52,1.634,0.004,0.0198,1264867200,0.95,snow,1022.57,1264853833,1264890490,21.6,1264896000,14.8,1264939200,1264827600,5.47,12,7.57,10.1825
